Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1349442726.651586,30,1349442726,654136896,auk,-0.013400944863792695,0.0016758844789836651,0.3517981942699749,0.9359784381044018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014137166941154067,-0.007853981633974482,-0.011257373675363424,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.09809999999999999,-0.23543999999999998,9.89829,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.671508,31,1349442726,674136877,auk,-0.013257619562478392,0.0015455301317796625,0.35163312319053786,0.9360427306140552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006021385919380436,0.0,0.00445058959258554,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.09809999999999999,-0.20600999999999997,9.9081,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.6918905,32,1349442726,694136858,auk,-0.013144999270975824,0.0014968205020491655,0.3514688346711898,0.9361060980345266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034033920413889425,-0.003141592653589793,-0.0041887902047863905,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.08829,-0.21581999999999998,9.91791,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.7112806,33,1349442726,714136839,auk,-0.013063041756633156,0.0015297718924045366,0.35130531582314584,0.9361685701904447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007853981633974482,0.005497787143782138,-0.008377580409572781,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.12752999999999998,-0.21581999999999998,9.89829,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.7317498,34,1349442726,734134912,auk,-0.0129300029313662,0.001675043513308193,0.3511424008765092,0.9362312874285417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011257373675363424,-0.006283185307179586,0.0018325957145940458,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.15696,-0.20600999999999997,9.84924,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.7516375,35,1349442726,754134893,auk,-0.012878620616006484,0.0017896401960997765,0.3509795903638881,0.9362928310453918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007330382858376183,-0.011519173063162573,-0.001308996938995747,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.13734,-0.19619999999999999,9.87867,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.7715101,36,1349442726,774134874,auk,-0.012796754706591328,0.001821385670992116,0.3508977244544729,0.9363245765202842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282817000215832,0.002356194490192345,0.001308996938995747,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.10790999999999999,-0.21581999999999998,9.89829,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.7912958,37,1349442726,794134855,auk,-0.012654118871387518,0.0016863705012657793,0.3510595130288194,0.9362661201507239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020943951023931952,0.022776546738526,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.10790999999999999,-0.21581999999999998,9.9081,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.8112795,38,1349442726,814132929,auk,-0.012542074648130152,0.0016331083811624292,0.3512220391728064,0.9362067659015457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049741883681838385,-0.010210176124166827,0.001308996938995747,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.09809999999999999,-0.17658,9.85905,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
1349442726.8317664,39,1349442726,834132910,auk,-0.012348176976252519,0.001611626942166428,0.3513027292891734,0.9361791055016878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00471238898038469,0.002617993877991494,0.00445058959258554,0.000169,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.000169,-0.07848,-0.16676999999999997,9.829619999999998,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001,0.0,0.0,0.0,0.006889000000000001
